priority,source_type,name,why_monitor,channel_or_url,cadence,signal_quality,relevance,tags
P0,repo/site,SWE-bench ecosystem,"Verified splits, coding task curation, hidden-test methodology",https://www.swebench.com/,daily,high,high,"code;verified;hidden-tests"
P0,repo/site,Terminal-Bench,"Executable terminal tasks and shell workflow scoring",https://www.tbench.ai/,daily,high,high,"terminal;execution"
P0,repo,ServiceNow BrowserGym,"Browser-agent harness and replay-oriented task design",https://github.com/ServiceNow/BrowserGym,daily,high,high,"browser;harness;replay"
P0,repo,ServiceNow WorkArena,"Workplace/browser workflow benchmark patterns",https://github.com/ServiceNow/WorkArena,daily,high,high,"browser;workflow"
P0,site,WebArena / WebArena-Verified,"Browser workflow tasks, verification updates, environment lessons",https://webarena.dev/,daily,high,high,"browser;verified"
P0,repo/site,OSWorld / OSWorld-Verified,"OS and desktop-agent tasks, replay and verification patterns",https://os-world.github.io/,daily,high,high,"os;desktop;verified"
P0,repo,AppWorld,"API/app simulation and state-diff scoring patterns",https://github.com/stonybrooknlp/appworld,daily,high,high,"api;state-diff;tools"
P0,search cluster,MCP benchmark cluster,"MCP and tool-registry benchmark methods","GitHub/arXiv search: MCP benchmark, MCP-Bench, MCP-Universe",daily,medium,high,"mcp;tool-use"
P0,search cluster,Deep Research benchmark cluster,"Fixed-corpus research, citation scoring, claim checks","GitHub/arXiv search: DeepResearch Bench, LiveDRBench, DRBench, PaperBench",daily,medium,high,"research;citations"
P0,repo,AgentDojo,"Prompt-injection and tool-output trust-boundary benchmark design",https://github.com/ethz-spylab/agentdojo,daily,high,high,"security;injection"
P0,standards,NIST AI Risk Management Framework,"Evaluation governance and risk framing","NIST AI RMF official page",weekly,high,medium,"standards;governance"
P0,framework,Inspect AI,"Public eval harness and scoring framework patterns",https://inspect.aisi.org.uk/,weekly,high,high,"framework;scoring"
P0,search cluster,Benchmark hardening papers,"Contamination, exploitability, reward hacking, eval awareness","arXiv/Semantic Scholar query set",daily,medium,high,"hardening;exploit;contamination"
P1,conference,Agent/eval/safety workshops,"New accepted papers and benchmark tracks","NeurIPS, ICML, ICLR, ACL workshop pages",weekly,medium,medium,"conference;workshop"
P1,framework,Evals and harness releases,"Report, trace, scoring, and lifecycle ideas","GitHub release watchlist",weekly,medium,medium,"framework;reports"
